Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194601,3.29,-0.01
194602,2.91,0.13
194603,1.48,-1.84
194604,3.30,-0.05
194605,3.40,0.01
194606,1.96,-1.78
194607,3.01,-0.78
194608,4.49,0.98
194609,2.99,-0.70
194610,2.98,-0.72
194611,3.38,-0.51
194612,3.98,0.45
194701,2.93,-0.37
194702,3.73,0.95
194703,3.08,-0.24
194704,2.53,-0.82
194705,5.37,1.98
194706,4.56,0.82
194707,5.14,1.35
194708,1.71,-1.80
194709,2.76,-0.93
194710,0.51,-3.19
194711,4.13,0.24
194712,1.72,-1.81
194801,2.40,-0.90
194802,1.35,-1.43
194803,2.85,-0.47
194804,2.75,-0.60
194805,6.38,2.99
194806,2.61,-1.13
194807,2.91,-0.88
194808,2.21,-1.30
194809,1.30,-2.39
194810,3.82,0.12
194811,5.93,2.04
194812,3.37,-0.16
194901,3.39,0.09
194902,2.39,-0.39
194903,2.39,-0.93
194904,2.70,-0.65
194905,3.28,-0.11
194906,2.73,-1.01
194907,2.80,-0.99
194908,2.54,-0.97
194909,3.93,0.24
194910,2.29,-1.41
194911,4.54,0.65
194912,2.12,-1.41
195001,4.01,0.71
195002,2.55,-0.23
195003,3.59,0.27
195004,3.24,-0.11
195005,0.93,-2.46
195006,5.04,1.30
195007,2.81,-0.98
195008,4.53,1.02
195009,1.49,-2.20
195010,2.58,-1.12
195011,8.33,4.44
195012,5.42,1.89
195101,3.04,-0.26
195102,4.45,1.67
195103,3.70,0.38
195104,5.55,2.20
195105,3.00,-0.39
195106,2.42,-1.32
195107,6.33,2.54
195108,4.22,0.71
195109,2.74,-0.95
195110,3.52,-0.18
195111,6.07,2.18
195112,4.71,1.18
195201,3.77,0.47
195202,4.33,1.55
195203,2.00,-1.32
195204,2.70,-0.65
195205,3.78,0.39
195206,4.90,1.16
195207,1.27,-2.52
195208,2.66,-0.85
195209,2.98,-0.71
195210,3.63,-0.07
195211,2.02,-1.87
195212,4.54,1.01
195301,4.01,0.71
195302,3.16,0.38
195303,7.32,4.00
195304,4.44,1.09
195305,3.04,-0.35
195306,2.37,-1.37
195307,3.84,0.05
195308,2.98,-0.53
195309,2.97,-0.72
195310,4.21,0.51
195311,3.90,0.01
195312,4.31,0.78
195401,3.15,-0.15
195402,4.12,1.34
195403,3.23,-0.09
