Washington December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195104,0.82,-2.01
195105,2.11,-0.14
195106,1.29,-0.60
195107,0.43,-0.47
195108,1.18,0.16
195109,2.11,0.16
195110,6.44,2.78
195111,5.86,-0.25
195112,5.95,-0.52
195201,5.16,-0.90
195202,3.36,-1.38
195203,3.06,-1.09
195204,1.78,-1.05
195205,1.44,-0.81
195206,2.45,0.56
195207,0.38,-0.52
195208,0.72,-0.30
195209,0.59,-1.36
195210,0.87,-2.79
195211,1.44,-4.67
195212,6.56,0.09
195301,14.09,8.03
195302,3.81,-0.93
195303,3.58,-0.57
195304,2.89,0.06
195305,2.96,0.71
195306,2.32,0.43
195307,0.40,-0.50
195308,1.69,0.67
195309,1.77,-0.18
195310,3.16,-0.50
195311,6.11,0.00
195312,8.06,1.59
195401,9.61,3.55
195402,5.72,0.98
195403,2.66,-1.49
195404,2.95,0.12
195405,1.54,-0.71
195406,2.70,0.81
195407,1.27,0.37
195408,2.03,1.01
195409,1.95,0.00
195410,2.67,-0.99
195411,6.88,0.77
195412,5.24,-1.23
195501,3.12,-2.94
195502,4.19,-0.55
195503,4.52,0.37
195504,4.44,1.61
195505,1.87,-0.38
195506,1.50,-0.39
195507,2.32,1.42
195508,0.10,-0.92
195509,1.80,-0.15
195510,6.99,3.33
195511,8.99,2.88
195512,9.08,2.61
195601,8.23,2.17
195602,4.20,-0.54
195603,6.14,1.99
195604,0.69,-2.14
195605,1.29,-0.96
195606,3.01,1.12
195607,0.59,-0.31
195608,1.51,0.49
195609,2.17,0.22
195610,6.27,2.61
195611,2.31,-3.80
195612,6.57,0.10
195701,3.17,-2.89
195702,5.29,0.55
195703,6.20,2.05
195704,2.45,-0.38
195705,2.69,0.44
195706,1.93,0.04
195707,0.91,0.01
195708,1.08,0.06
195709,0.90,-1.05
195710,3.93,0.27
195711,3.22,-2.89
195712,7.43,0.96
195801,7.19,1.13
195802,6.15,1.41
195803,2.80,-1.35
195804,4.70,1.87
195805,1.12,-1.13
195806,1.99,0.10
195807,0.52,-0.38
195808,0.45,-0.57
195809,1.88,-0.07
195810,3.76,0.10
195811,9.12,3.01
195812,6.69,0.22
195901,8.61,2.55
195902,3.70,-1.04
195903,4.67,0.52
195904,3.38,0.55
195905,2.44,0.19
195906,1.90,0.01
195907,0.51,-0.39
195908,0.99,-0.03
195909,5.00,3.05
195910,4.23,0.57
195911,6.36,0.25
195912,4.98,-1.49
196001,4.36,-1.70
196002,5.12,0.38
196003,4.82,0.67
196004,3.94,1.11
196005,4.20,1.95
196006,0.96,-0.93
196007,0.03,-0.87
196008,1.97,0.95
196009,1.17,-0.78
196010,3.89,0.23
196011,8.33,2.22
196012,3.59,-2.88
196101,6.72,0.66
196102,10.06,5.32
196103,5.92,1.77
196104,3.14,0.31
196105,3.02,0.77
196106,1.12,-0.77
196107,0.75,-0.15
196108,1.04,0.02
196109,1.31,-0.64
196110,3.94,0.28
196111,4.75,-1.36
196112,6.98,0.51
196201,3.39,-2.67
196202,2.62,-2.12
196203,4.15,0.00
196204,3.52,0.69
196205,2.95,0.70
196206,1.22,-0.67
196207,0.47,-0.43
196208,2.05,1.03
196209,2.28,0.33
196210,4.05,0.39
196211,8.59,2.48
196212,4.94,-1.53
196301,1.94,-4.12
196302,5.14,0.40
196303,3.86,-0.29
196304,3.92,1.09
196305,1.78,-0.47
196306,1.58,-0.31
196307,1.52,0.62
196308,1.12,0.10
196309,1.45,-0.50
196310,4.28,0.62
196311,7.56,1.45
196312,5.19,-1.28
196401,9.57,3.51
196402,2.09,-2.65
196403,4.58,0.43
196404,2.43,-0.40
196405,1.40,-0.85
196406,2.75,0.86
196407,1.29,0.39
196408,1.78,0.76
196409,2.14,0.19
196410,1.94,-1.72
196411,6.55,0.44
196412,8.59,2.12
196501,7.91,1.85
196502,4.64,-0.10
196503,0.85,-3.30
196504,3.19,0.36
196505,1.94,-0.31
196506,0.86,-1.03
196507,0.77,-0.13
196508,2.03,1.01
196509,0.74,-1.21
196510,2.35,-1.31
196511,5.53,-0.58
196512,5.71,-0.76
196601,6.77,0.71
196602,2.87,-1.87
196603,5.19,1.04
196604,1.41,-1.42
196605,1.38,-0.87
196606,1.89,0.00
196607,1.67,0.77
196608,0.55,-0.47
196609,1.54,-0.41
196610,3.63,-0.03
196611,6.25,0.14
196612,8.51,2.04
196701,9.20,3.14
196702,3.75,-0.99
196703,4.80,0.65
196704,2.98,0.15
196705,1.34,-0.91
196706,1.57,-0.32
196707,0.20,-0.70
196708,0.07,-0.95
196709,1.21,-0.74
196710,7.94,4.28
196711,3.32,-2.79
196712,6.44,-0.03
196801,7.08,1.02
196802,6.00,1.26
196803,4.43,0.28
196804,2.23,-0.60
196805,1.96,-0.29
196806,2.47,0.58
